category_code,brand,Packaging Material,Shipping Mode,Usage Duration,Repairability Score
appliances.kitchen.coffee_grinder,delonghi,Thermacol,Road,6,7
appliances.kitchen.coffee_grinder,melitta,Plastic,Sea,9,7
appliances.kitchen.coffee_grinder,polaris,Plastic,Sea,6,6
appliances.kitchen.coffee_grinder,sencor,Cardboard,Sea,8,6
appliances.kitchen.coffee_machine,bork,Thermacol,Sea,8,8
appliances.kitchen.coffee_machine,bosch,Cardboard,Sea,8,8
appliances.kitchen.coffee_machine,braun,Cardboard,Road,6,8
appliances.kitchen.coffee_machine,cremesso,Plastic,Sea,6,7
appliances.kitchen.coffee_machine,delonghi,Cardboard,Road,7,8
appliances.kitchen.coffee_machine,electrolux,Cardboard,Road,6,8
appliances.kitchen.coffee_machine,krups,Plastic,Road,10,6
appliances.kitchen.coffee_machine,peterhof,Plastic,Sea,9,8
appliances.kitchen.coffee_machine,philips,Cardboard,Road,10,6
appliances.kitchen.coffee_machine,polaris,Plastic,Sea,6,7
appliances.kitchen.coffee_machine,rondell,Plastic,Sea,6,6
appliances.kitchen.coffee_machine,smeg,Plastic,Sea,10,6
appliances.kitchen.coffee_machine,vitek,Plastic,Sea,9,6
appliances.kitchen.coffee_machine,wmf,Thermacol,Road,10,7
appliances.kitchen.dishwasher,aeg,Plastic,Sea,8,7
appliances.kitchen.dishwasher,beko,Plastic,Road,7,7
appliances.kitchen.dishwasher,bosch,Thermacol,Road,6,8
appliances.kitchen.dishwasher,electrolux,Cardboard,Road,8,6
appliances.kitchen.dishwasher,gorenje,Cardboard,Sea,9,8
appliances.kitchen.dishwasher,hansa,Cardboard,Sea,9,7
appliances.kitchen.dishwasher,hotpoint-ariston,Thermacol,Road,6,7
appliances.kitchen.dishwasher,indesit,Cardboard,Sea,7,7
appliances.kitchen.dishwasher,midea,Cardboard,Sea,6,8
appliances.kitchen.dishwasher,samsung,Cardboard,Road,10,6
appliances.kitchen.dishwasher,whirlpool,Plastic,Sea,7,8
appliances.kitchen.fryer,philips,Plastic,Sea,8,8
appliances.kitchen.fryer,tefal,Plastic,Road,10,6
appliances.kitchen.grill,bork,Cardboard,Sea,8,6
appliances.kitchen.grill,bosch,Cardboard,Sea,8,8
appliances.kitchen.grill,delonghi,Cardboard,Road,7,8
appliances.kitchen.grill,polaris,Thermacol,Road,10,8
appliances.kitchen.grill,scarlett,Plastic,Sea,8,6
appliances.kitchen.grill,sencor,Cardboard,Sea,9,7
appliances.kitchen.grill,tefal,Cardboard,Road,7,7
appliances.kitchen.hood,aeg,Cardboard,Sea,9,7
appliances.kitchen.hood,akpo,Cardboard,Road,10,8
appliances.kitchen.hood,ava,Plastic,Road,8,7
appliances.kitchen.hood,beko,Plastic,Sea,10,7
appliances.kitchen.hood,bosch,Cardboard,Road,10,8
appliances.kitchen.hood,electrolux,Thermacol,Road,10,6
appliances.kitchen.hood,gefest,Cardboard,Road,10,7
appliances.kitchen.hood,gorenje,Plastic,Sea,7,8
appliances.kitchen.hood,hansa,Thermacol,Sea,8,8
appliances.kitchen.hood,hotpoint-ariston,Cardboard,Road,10,7
appliances.kitchen.hood,jetair,Plastic,Road,9,6
appliances.kitchen.hood,lg,Cardboard,Sea,7,6
appliances.kitchen.hood,midea,Thermacol,Sea,6,6
appliances.kitchen.hood,none,Thermacol,Road,6,6
appliances.kitchen.hood,samsung,Thermacol,Sea,10,8
appliances.kitchen.hood,simfer,Plastic,Sea,6,6
appliances.kitchen.juicer,bork,Plastic,Road,6,6
appliances.kitchen.juicer,bosch,Cardboard,Road,6,7
appliances.kitchen.juicer,braun,Plastic,Sea,8,6
appliances.kitchen.juicer,hurom,Thermacol,Road,9,7
appliances.kitchen.juicer,kenwood,Plastic,Road,9,6
appliances.kitchen.juicer,maxwell,Plastic,Sea,7,7
appliances.kitchen.juicer,moulinex,Plastic,Road,9,6
appliances.kitchen.juicer,neo,Cardboard,Sea,10,7
appliances.kitchen.juicer,panasonic,Cardboard,Sea,8,7
appliances.kitchen.juicer,philips,Cardboard,Road,7,8
appliances.kitchen.juicer,polaris,Plastic,Sea,7,6
appliances.kitchen.juicer,redmond,Thermacol,Sea,8,6
appliances.kitchen.juicer,scarlett,Thermacol,Road,8,6
appliances.kitchen.juicer,sencor,Cardboard,Sea,7,7
appliances.kitchen.juicer,vitek,Thermacol,Sea,10,7
appliances.kitchen.kettle,akku,Thermacol,Road,6,7
appliances.kitchen.kettle,apollo,Cardboard,Road,10,8
appliances.kitchen.kettle,ava,Cardboard,Sea,8,7
appliances.kitchen.kettle,berghoff,Cardboard,Road,8,6
appliances.kitchen.kettle,bork,Plastic,Road,7,7
appliances.kitchen.kettle,borner,Thermacol,Sea,7,7
appliances.kitchen.kettle,bosch,Cardboard,Sea,9,7
appliances.kitchen.kettle,braun,Plastic,Road,6,8
appliances.kitchen.kettle,delonghi,Thermacol,Road,9,7
appliances.kitchen.kettle,fissman,Plastic,Sea,10,8
appliances.kitchen.kettle,kenwood,Thermacol,Sea,7,6
appliances.kitchen.kettle,kitchenaid,Thermacol,Sea,9,7
appliances.kitchen.kettle,maestro,Plastic,Sea,9,8
appliances.kitchen.kettle,maxwell,Thermacol,Sea,6,8
appliances.kitchen.kettle,muljhtidom,Plastic,Road,10,7
appliances.kitchen.kettle,none,Plastic,Road,8,8
appliances.kitchen.kettle,panasonic,Plastic,Sea,8,7
appliances.kitchen.kettle,peterhof,Thermacol,Road,6,8
appliances.kitchen.kettle,philips,Thermacol,Sea,7,6
appliances.kitchen.kettle,polaris,Cardboard,Road,10,7
appliances.kitchen.kettle,provence,Thermacol,Sea,6,8
appliances.kitchen.kettle,redmond,Thermacol,Sea,6,6
appliances.kitchen.kettle,rondell,Thermacol,Sea,10,7
appliances.kitchen.kettle,scarlett,Thermacol,Road,7,7
appliances.kitchen.kettle,sencor,Plastic,Sea,6,8
appliances.kitchen.kettle,smeg,Plastic,Sea,10,8
appliances.kitchen.kettle,tefal,Plastic,Sea,8,7
appliances.kitchen.kettle,vitek,Plastic,Road,9,7
appliances.kitchen.kettle,wilmax,Thermacol,Road,8,7
appliances.kitchen.kettle,wmf,Plastic,Sea,6,8
appliances.kitchen.kettle,xiaomi,Cardboard,Road,9,6
appliances.kitchen.meat_grinder,aksion,Cardboard,Sea,7,6
appliances.kitchen.meat_grinder,ava,Cardboard,Road,9,8
appliances.kitchen.meat_grinder,bork,Cardboard,Sea,7,8
appliances.kitchen.meat_grinder,bosch,Plastic,Road,9,8
appliances.kitchen.meat_grinder,kenwood,Cardboard,Sea,7,6
appliances.kitchen.meat_grinder,moulinex,Cardboard,Road,6,8
appliances.kitchen.meat_grinder,neo,Cardboard,Sea,9,7
appliances.kitchen.meat_grinder,panasonic,Thermacol,Road,9,7
appliances.kitchen.meat_grinder,philips,Plastic,Sea,10,6
appliances.kitchen.meat_grinder,polaris,Plastic,Road,8,8
appliances.kitchen.meat_grinder,redmond,Cardboard,Road,9,6
appliances.kitchen.meat_grinder,vitek,Plastic,Sea,10,8
appliances.kitchen.microwave,aeg,Plastic,Road,9,7
appliances.kitchen.microwave,ava,Plastic,Road,9,7
appliances.kitchen.microwave,beko,Cardboard,Road,10,6
appliances.kitchen.microwave,bork,Cardboard,Road,9,7
appliances.kitchen.microwave,bosch,Thermacol,Sea,6,7
appliances.kitchen.microwave,daewoo,Cardboard,Road,10,8
appliances.kitchen.microwave,delonghi,Plastic,Road,9,8
appliances.kitchen.microwave,electrolux,Thermacol,Road,10,7
appliances.kitchen.microwave,gorenje,Cardboard,Sea,9,8
appliances.kitchen.microwave,hansa,Cardboard,Road,10,6
appliances.kitchen.microwave,hotpoint-ariston,Plastic,Road,6,6
appliances.kitchen.microwave,lg,Thermacol,Road,7,8
appliances.kitchen.microwave,panasonic,Plastic,Road,6,8
appliances.kitchen.microwave,samsung,Plastic,Road,9,6
appliances.kitchen.mixer,bosch,Cardboard,Road,10,6
appliances.kitchen.mixer,braun,Plastic,Sea,8,6
appliances.kitchen.mixer,kitchenaid,Thermacol,Sea,8,8
appliances.kitchen.mixer,maxwell,Cardboard,Sea,9,8
appliances.kitchen.mixer,moulinex,Cardboard,Sea,7,7
appliances.kitchen.mixer,none,Plastic,Road,9,7
appliances.kitchen.mixer,panasonic,Thermacol,Sea,9,8
appliances.kitchen.mixer,philips,Plastic,Sea,6,7
appliances.kitchen.mixer,polaris,Thermacol,Road,7,6
appliances.kitchen.mixer,scarlett,Plastic,Sea,8,6
appliances.kitchen.oven,aeg,Cardboard,Sea,7,6
appliances.kitchen.oven,beko,Cardboard,Road,10,8
appliances.kitchen.oven,bosch,Thermacol,Road,8,8
appliances.kitchen.oven,electrolux,Thermacol,Sea,10,6
appliances.kitchen.oven,gefest,Cardboard,Road,10,6
appliances.kitchen.oven,gorenje,Thermacol,Road,7,6
appliances.kitchen.oven,hansa,Cardboard,Sea,9,7
appliances.kitchen.oven,hotpoint-ariston,Thermacol,Road,6,8
appliances.kitchen.oven,lg,Cardboard,Road,7,6
appliances.kitchen.oven,midea,Plastic,Sea,9,6
appliances.kitchen.oven,samsung,Cardboard,Road,7,7
appliances.kitchen.oven,simfer,Cardboard,Road,10,8
appliances.kitchen.refrigerators,atlant,Cardboard,Sea,8,6
appliances.kitchen.refrigerators,ava,Thermacol,Road,9,7
appliances.kitchen.refrigerators,beko,Plastic,Sea,8,8
appliances.kitchen.refrigerators,birjusa,Plastic,Road,6,7
appliances.kitchen.refrigerators,bosch,Plastic,Sea,9,8
appliances.kitchen.refrigerators,caso,Thermacol,Sea,10,6
appliances.kitchen.refrigerators,daewoo,Plastic,Sea,8,7
appliances.kitchen.refrigerators,different,Thermacol,Sea,7,7
appliances.kitchen.refrigerators,electrolux,Thermacol,Road,9,8
appliances.kitchen.refrigerators,gorenje,Thermacol,Road,8,8
appliances.kitchen.refrigerators,hansa,Thermacol,Sea,10,6
appliances.kitchen.refrigerators,hotpoint-ariston,Cardboard,Road,6,6
appliances.kitchen.refrigerators,indesit,Cardboard,Road,7,6
appliances.kitchen.refrigerators,janome,Cardboard,Sea,6,6
appliances.kitchen.refrigerators,kramet,Plastic,Sea,9,7
appliances.kitchen.refrigerators,lg,Cardboard,Road,10,7
appliances.kitchen.refrigerators,midea,Thermacol,Road,10,6
appliances.kitchen.refrigerators,neo,Thermacol,Road,8,8
appliances.kitchen.refrigerators,none,Cardboard,Road,6,6
appliances.kitchen.refrigerators,organ,Plastic,Road,6,7
appliances.kitchen.refrigerators,pozis,Thermacol,Sea,8,8
appliances.kitchen.refrigerators,samsung,Thermacol,Road,9,7
appliances.kitchen.refrigerators,status,Plastic,Road,8,6
appliances.kitchen.refrigerators,trio,Thermacol,Sea,10,7
appliances.kitchen.refrigerators,uteki,Cardboard,Road,7,8
appliances.kitchen.refrigerators,whirlpool,Cardboard,Road,10,7
appliances.kitchen.steam_cooker,braun,Cardboard,Road,8,7
appliances.kitchen.steam_cooker,polaris,Thermacol,Sea,7,8
appliances.kitchen.steam_cooker,puff,Plastic,Sea,7,7
appliances.kitchen.steam_cooker,scarlett,Thermacol,Sea,7,7
appliances.kitchen.steam_cooker,tefal,Cardboard,Road,10,8
appliances.kitchen.toster,bork,Thermacol,Road,10,8
appliances.kitchen.toster,bosch,Plastic,Road,9,7
appliances.kitchen.toster,braun,Thermacol,Sea,7,7
appliances.kitchen.toster,delonghi,Plastic,Sea,6,6
appliances.kitchen.toster,maxwell,Cardboard,Road,10,8
appliances.kitchen.toster,philips,Thermacol,Sea,8,7
appliances.kitchen.toster,polaris,Cardboard,Sea,8,7
appliances.kitchen.toster,scarlett,Cardboard,Road,9,7
appliances.kitchen.toster,sencor,Plastic,Road,6,8
appliances.kitchen.toster,smeg,Thermacol,Sea,7,6
appliances.kitchen.toster,tefal,Thermacol,Road,10,7
appliances.kitchen.toster,vitek,Thermacol,Road,9,8
appliances.kitchen.washer,aeg,Cardboard,Sea,10,8
appliances.kitchen.washer,atlant,Plastic,Sea,9,7
appliances.kitchen.washer,ava,Plastic,Road,10,7
appliances.kitchen.washer,beko,Plastic,Road,8,8
appliances.kitchen.washer,bosch,Plastic,Road,8,8
appliances.kitchen.washer,daewoo,Plastic,Road,7,7
appliances.kitchen.washer,electrolux,Cardboard,Road,10,7
appliances.kitchen.washer,hansa,Plastic,Road,8,8
appliances.kitchen.washer,hotpoint-ariston,Plastic,Sea,7,7
appliances.kitchen.washer,indesit,Cardboard,Sea,6,7
appliances.kitchen.washer,lg,Cardboard,Sea,6,7
appliances.kitchen.washer,midea,Cardboard,Road,7,6
appliances.kitchen.washer,none,Cardboard,Road,7,7
appliances.kitchen.washer,samsung,Cardboard,Road,8,8
appliances.kitchen.washer,tayfun,Thermacol,Road,6,7
appliances.kitchen.washer,whirlpool,Cardboard,Sea,10,8
appliances.personal.hair_cutter,babyliss,Cardboard,Road,5,6
appliances.personal.hair_cutter,braun,Plastic,Sea,4,7
appliances.personal.hair_cutter,gerat,Paper,Sea,3,5
appliances.personal.hair_cutter,imetec,Cardboard,Road,5,6
appliances.personal.hair_cutter,panasonic,Cardboard,Sea,4,6
appliances.personal.hair_cutter,philips,Paper,Sea,5,7
appliances.personal.hair_cutter,polaris,Paper,Sea,4,5
appliances.personal.hair_cutter,remington,Plastic,Sea,3,7
appliances.personal.hair_cutter,rowenta,Paper,Sea,4,6
appliances.personal.hair_cutter,scarlett,Paper,Sea,4,6
appliances.personal.massager,babyliss,Cardboard,Road,3,5
appliances.personal.massager,bellissima,Plastic,Road,5,5
appliances.personal.massager,beurer,Plastic,Sea,5,5
appliances.personal.massager,bradex,Cardboard,Road,3,6
appliances.personal.massager,braun,Plastic,Road,4,7
appliances.personal.massager,casada,Plastic,Sea,4,5
appliances.personal.massager,gezatone,Paper,Road,5,7
appliances.personal.massager,medisana,Cardboard,Sea,5,5
appliances.personal.massager,none,Plastic,Road,4,6
appliances.personal.massager,philips,Plastic,Sea,4,5
appliances.personal.massager,polaris,Paper,Road,3,7
appliances.personal.massager,remington,Plastic,Sea,4,5
appliances.personal.massager,rowenta,Paper,Road,4,5
appliances.personal.massager,scarlett,Paper,Sea,3,7
appliances.personal.massager,vitek,Plastic,Road,5,7
appliances.personal.scales,ava,Cardboard,Road,5,5
appliances.personal.scales,beurer,Cardboard,Road,4,5
appliances.personal.scales,galaxy,Plastic,Road,4,5
appliances.personal.scales,gerat,Paper,Sea,4,5
appliances.personal.scales,huawei,Paper,Sea,5,7
appliances.personal.scales,imetec,Plastic,Sea,3,5
appliances.personal.scales,maxwell,Plastic,Road,5,6
appliances.personal.scales,none,Plastic,Road,5,5
appliances.personal.scales,omron,Plastic,Road,4,7
appliances.personal.scales,polaris,Cardboard,Road,4,5
appliances.personal.scales,redmond,Cardboard,Road,3,7
appliances.personal.scales,scarlett,Cardboard,Sea,4,5
appliances.personal.scales,sencor,Paper,Road,5,7
appliances.personal.scales,tefal,Paper,Road,5,5
appliances.personal.scales,vitek,Paper,Sea,4,7
appliances.personal.scales,xiaomi,Plastic,Sea,5,6
appliances.sewing_machine,aoki,Cardboard,Road,4,5
appliances.sewing_machine,brother,Plastic,Sea,5,5
appliances.sewing_machine,jaguar,Plastic,Road,5,5
appliances.sewing_machine,janome,Cardboard,Sea,3,5
appliances.sewing_machine,none,Paper,Sea,5,7
appliances.sewing_machine,singer,Plastic,Road,3,5
appliances.steam_cleaner,karcher,Plastic,Road,3,7
appliances.steam_cleaner,sencor,Paper,Road,3,6
auto.accessories.alarm,pandora,Cardboard,Sea,8,6
auto.accessories.alarm,starline,Foam,Sea,8,8
auto.accessories.anti_freeze,airline,Foam,Road,5,8
auto.accessories.anti_freeze,alfa,Plastic,Road,7,7
auto.accessories.anti_freeze,bardahl,Cardboard,Road,5,6
auto.accessories.compressor,airline,Plastic,Road,6,8
auto.accessories.compressor,continent,Foam,Road,5,6
auto.accessories.compressor,goodyear,Foam,Road,7,8
auto.accessories.compressor,parkcity,Foam,Road,7,7
auto.accessories.player,jvc,Cardboard,Sea,8,7
auto.accessories.player,kenwood,Plastic,Road,7,7
auto.accessories.player,pioneer,Foam,Sea,7,8
auto.accessories.player,swat,Foam,Road,8,8
auto.accessories.radar,neoline,Foam,Road,5,6
auto.accessories.videoregister,inspector,Foam,Sea,8,8
auto.accessories.videoregister,navitel,Cardboard,Road,7,8
auto.accessories.videoregister,neoline,Cardboard,Sea,5,6
auto.accessories.videoregister,playme,Cardboard,Road,5,6
auto.accessories.videoregister,prestigio,Foam,Road,5,7
auto.accessories.videoregister,ritmix,Foam,Road,8,8
auto.accessories.videoregister,subini,Plastic,Road,8,7
auto.accessories.videoregister,xiaomi,Cardboard,Sea,6,8
computers.components.cdrw,gembird,Paper,Road,4,6
computers.components.cdrw,transcend,Paper,Air,4,5
computers.components.cooler,aerocool,Cardboard,Road,4,6
computers.components.cooler,apple,Cardboard,Road,3,6
computers.components.cooler,bykski,Cardboard,Air,3,5
computers.components.cooler,deepcool,Paper,Road,5,7
computers.components.cooler,different,Plastic,Road,5,5
computers.components.cooler,hp,Cardboard,Air,3,6
computers.components.cooler,id-cooling,Plastic,Air,5,6
computers.components.cooler,jonsbo,Paper,Road,5,5
computers.components.cooler,moshi,Plastic,Road,4,5
computers.components.cooler,none,Cardboard,Air,4,5
computers.components.cooler,orico,Plastic,Road,3,5
computers.components.cooler,pccooler,Plastic,Air,4,7
computers.components.cooler,satechi,Plastic,Road,5,5
computers.components.cooler,ship,Plastic,Road,5,6
computers.components.cooler,thermaltake,Cardboard,Air,5,7
computers.components.cooler,xigmatek,Cardboard,Road,3,7
computers.components.cooler,yoobao,Paper,Air,5,5
computers.components.cooler,zalman,Plastic,Road,5,6
computers.components.cpu,amd,Paper,Air,4,7
computers.components.cpu,bork,Cardboard,Air,3,5
computers.components.cpu,bosch,Plastic,Road,4,5
computers.components.cpu,camelion,Plastic,Air,5,6
computers.components.cpu,ehra,Cardboard,Road,4,5
computers.components.cpu,ergolux,Plastic,Air,4,5
computers.components.cpu,intel,Paper,Road,5,7
computers.components.cpu,kenwood,Plastic,Air,5,6
computers.components.cpu,kitchenaid,Paper,Road,5,6
computers.components.cpu,moulinex,Plastic,Air,5,7
computers.components.cpu,philips,Plastic,Air,3,6
computers.components.cpu,polaroid,Cardboard,Road,3,7
computers.components.cpu,sencor,Cardboard,Road,3,7
computers.components.cpu,toshiba,Cardboard,Air,5,7
computers.components.hdd,anymode,Paper,Road,5,5
computers.components.hdd,apple,Cardboard,Road,4,5
computers.components.hdd,colorful,Paper,Road,5,5
computers.components.hdd,crucial,Cardboard,Air,4,6
computers.components.hdd,gigabyte,Cardboard,Road,3,6
computers.components.hdd,kingston,Cardboard,Air,4,5
computers.components.hdd,moshi,Plastic,Road,5,6
computers.components.hdd,none,Plastic,Air,4,6
computers.components.hdd,patriot,Paper,Road,5,5
computers.components.hdd,plextor,Cardboard,Air,4,5
computers.components.hdd,portcase,Plastic,Road,5,7
computers.components.hdd,rivacase,Plastic,Air,5,7
computers.components.hdd,samsung,Cardboard,Road,3,5
computers.components.hdd,seagate,Cardboard,Air,5,7
computers.components.hdd,sumdex,Plastic,Air,4,7
computers.components.hdd,toshiba,Cardboard,Air,5,5
computers.components.hdd,transcend,Cardboard,Air,4,6
computers.components.memory,crucial,Cardboard,Air,4,6
computers.components.memory,kingston,Plastic,Air,4,5
computers.components.memory,patriot,Cardboard,Road,3,7
computers.components.memory,smart,Cardboard,Road,5,7
computers.components.memory,transcend,Cardboard,Air,5,7
computers.components.memory,zeppelin,Paper,Road,5,6
computers.components.motherboard,asrock,Cardboard,Air,5,5
computers.components.motherboard,asus,Plastic,Road,5,6
computers.components.motherboard,biostar,Cardboard,Road,5,7
computers.components.motherboard,colorful,Cardboard,Road,3,5
computers.components.motherboard,gigabyte,Paper,Air,5,7
computers.components.motherboard,msi,Plastic,Air,5,6
computers.components.motherboard,none,Cardboard,Air,4,7
computers.components.power_supply,aerocool,Paper,Road,4,5
computers.components.power_supply,cougar,Cardboard,Road,5,6
computers.components.power_supply,deepcool,Plastic,Road,3,7
computers.components.power_supply,gamdias,Paper,Road,4,5
computers.components.power_supply,gamemax,Paper,Air,4,6
computers.components.power_supply,gigabyte,Paper,Road,3,6
computers.components.power_supply,huntkey,Cardboard,Air,5,6
